cp_measure_feature,cp_measure_module,cellprofiler_equivalent,cellprofiler_module,naming_rule,confidence,rsi,rsi_category,correction_strategy,note
BoundingBoxMaximum_Y,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,1.46484,high,,
BoundingBoxMinimum_Y,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,1.629402,high,,
Center_X,measureobjectsizeshape.get_sizeshape,AreaShape_Center_X,MeasureObjectSizeShape,AreaShape_{cp_name}  (no channel needed — shape is image-independent),medium,5.214594,high,,
Center_Y,measureobjectsizeshape.get_sizeshape,AreaShape_Center_Y,MeasureObjectSizeShape,AreaShape_{cp_name}  (no channel needed — shape is image-independent),medium,5.638931,high,,
CentralMoment_0_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,3.17944,high,moment_rotation_correction,
CentralMoment_1_0,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,13.688272,high,moment_rotation_correction,
CentralMoment_1_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,1036113.75,high,moment_rotation_correction,
CentralMoment_1_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,421663.84375,high,moment_rotation_correction,
CentralMoment_2_0,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,6.393626,high,moment_rotation_correction,
CentralMoment_2_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,34.821255,high,moment_rotation_correction,
CentralMoment_2_2,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,1.187804,high,moment_rotation_correction,
CentralMoment_2_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,18.11096,high,moment_rotation_correction,
Extent,measureobjectsizeshape.get_sizeshape,AreaShape_Extent,MeasureObjectSizeShape,AreaShape_{cp_name}  (no channel needed — shape is image-independent),high,3.921066,high,,
Granularity_3,measuregranularity.get_granularity,Granularity_3_{image},MeasureGranularity,,medium,4.389052,high,,
Granularity_6,measuregranularity.get_granularity,Granularity_6_{image},MeasureGranularity,,medium,48.647114,high,,
